testTypeId,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,cefrLevel,difficulty,testSetId,conversation,article,audioUrl,transcript
focus-meaning,What does the woman mean?,What’s the time now?,When did the train go?,When will the train go?,Where does the train go?,C,ผู้ชายตอบเวลาว่า 4 โมงเย็น คำถามของผู้หญิงคือ 'What time does the train leave?' แปลว่าผู้หญิงถามเวลารถไฟออกนั่นเอง (When will the train go?),B1,medium,7,"[{""text"":""Excuse me. What time does the train leave?"",""speaker"":""A""},{""text"":""At 4 o’clock."",""speaker"":""B""}]",,,
focus-meaning,What does the man mean?,I think it’s a good idea.,I don’t really want to go.,I’m not sure why you’re asking me.,I don’t have time tonight.,A,ผู้หญิงชวนออกไปเที่ยว ผู้ชายตอบ 'Why not?' (ทำไมจะไม่ล่ะ = ไปสิ) แสดงว่าเขาเห็นด้วยและคิดว่าเป็นไอเดียที่ดี (I think it's a good idea),B1,medium,7,"[{""text"":""Do you fancy going out somewhere tonight?"",""speaker"":""A""},{""text"":""Why not?"",""speaker"":""B""}]",,,
focus-meaning,What does the man mean?,Can I have your car keys?,Do you need my car keys?,Have you got my car keys?,Where are my car keys?,C,ผู้หญิงบอกว่ากุญแจวางอยู่บนโต๊ะ แสดงว่าผู้ชายตั้งคำถามเพื่อต้องการรู้ว่ากุญแจรถของตนเองอยู่ที่ไหน (Where are my car keys?),B1,medium,7,"[{""text"":""Did I give you my car keys?"",""speaker"":""A""},{""text"":""They’re on the table in the hall."",""speaker"":""B""}]",,,
focus-meaning,What does the boy mean?,I don’t like reading.,I don’t mind what I read.,I don’t have anything to read.,I read only certain books.,B,ผู้ชายถูกถามว่าชอบอ่านหนังสืออะไร เขาตอบ 'anything really' (อะไรก็ได้เลย) หมายความว่าเขาอ่านอะไรก็ได้ ไม่เจาะจง (I don't mind what I read),B1,medium,7,"[{""text"":""What sort of books do you like reading?"",""speaker"":""A""},{""text"":""Well, anything really."",""speaker"":""B""}]",,,
focus-meaning,What does the brother mean?,You can’t understand.,You don’t understand.,You refuse to understand.,You never fish.,B,"ประโยคที่บอก 'You just don't get it, do you?' (เธอไม่เข้าใจอะไรเลยสินะ) แปลแบบเรียบง่ายคือ อีกฝ่ายนั้นไม่เข้าใจในสิ่งที่เธอทำ (You don't understand)",B1,medium,7,"[{""text"":""I don’t know what you see in fishing…"",""speaker"":""A""},{""text"":""You just don’t get it, do you? It’s not about how many fish you catch."",""speaker"":""B""}]",,,
focus-meaning,What does the man mean?,It’s losing a lot of money.,It’s bringing in a lot of money.,It’s hardly making any money.,It is expanding rapidly.,B,ผู้ชายตั้งข้อสังเกตธุรกิจของฝั่่งคู่สนทนาทำท่าจะไปได้สวย ('thriving' แปลว่า เจริญรุ่งเรือง เติบโตได้ดี) แสดงว่าน่าจะทำเงินได้เยอะมาก (Bringing in a lot of money),B1,medium,7,"[{""text"":""Adam’s business seems to be thriving."",""speaker"":""A""},{""text"":""Actually, I think he’s only just about breaking even."",""speaker"":""B""}]",,,
focus-meaning,What does the woman mean?,It’s losing a lot of money.,It’s bringing in a lot of money.,It’s hardly making any money.,It’s very successful.,C,ผู้หญิงแย้งว่าธุรกิจน่าจะแค่ 'breaking even' ซึ่งแปลว่าเท่าทุน/เสมอตัว หมายความว่ามันแทบจะไม่ได้ทำกำไรเลยในตอนนี้ (It's hardly making any money),B1,medium,7,"[{""text"":""Adam’s business seems to be thriving."",""speaker"":""A""},{""text"":""Actually, I think he’s only just about breaking even."",""speaker"":""B""}]",,,
focus-meaning,What does the woman mean?,I’ll help you if you find it difficult.,I know it won’t take you long to learn.,I’m sure you’ll be able to do it eventually.,Dancing is easy for everyone.,B,ผู้หญิงบอกเดี๋ยวก็เป็น ('You'll pick it up in no time') มีความหมายตรงตัวว่าใช้เวลาเรียนรู้ไม่นานหรอก เดี๋ยวนายก็ทำได้สบายๆ (I know it won't take you long to learn),B1,medium,8,"[{""text"":""I’ve never been much good at dancing."",""speaker"":""A""},{""text"":""You’ll pick it up in no time – take my word for it."",""speaker"":""B""}]",,,
focus-meaning,What does the woman mean?,I don’t know how far it is.,I never walk such a long way.,I don’t want to walk there today.,I love walking in this weather.,C,ผู้หญิงถามว่า 'Isn't it too far?' (มันไม่ไกลไปหน่อยเหรอ) ในสภาพอากาศแบบนี้ สรุปคือเธอไม่อยากเดินไปที่นั่นในบรรยากาศตอนนี้ (I don't want to walk there today),B1,medium,8,"[{""text"":""Let’s walk to the beach this afternoon."",""speaker"":""A""},{""text"":""Isn’t it too far in this weather?"",""speaker"":""B""}]",,,
focus-meaning,What does the man mean?,I’ll make a meal with what we have.,I’ll buy something to eat.,I’ll order takeout.,I’ll go to a restaurant.,A,คำว่า 'rustle something up' เป็นสำนวนแปลว่า การไปหาวัตถุดิบเท่าที่มีรวบรวมมาเข้าครัวทำอาหารแบบรวดเร็ว (I'll make a meal with what we have),B1,medium,8,"[{""text"":""I’m starving."",""speaker"":""A""},{""text"":""I’ll see if I can rustle something up."",""speaker"":""B""}]",,,
focus-meaning,What does the woman mean?,Can you tell me how much this swimsuit is?,Where can I pay for this swimsuit?,Can I see if this swimsuit fits me?,Can I return this swimsuit?,C,ผู้หญิงขออนุญาตลองชุด และผู้ชายบอกว่า 'changing room's over there' (ห้องเปลี่ยนเสื้ออยู่ตรงนั้น) แสดงว่าผู้หญิงขอเช็คว่าชุดที่ใส่เข้ากันหรือไม่,B1,medium,8,"[{""text"":""Can I try this swimsuit on, please?"",""speaker"":""A""},{""text"":""Sure – the changing room’s over there."",""speaker"":""B""}]",,,
focus-meaning,What does the mother mean?,You might need more money than that.,That’s too much money for the cinema.,I’ve given you enough money already.,I forgot to give you money.,C,แม่บ่นว่าเมื่อเช้าก็เพิ่งให้ไป 10 ปอนด์ หมายความว่าได้ให้เงินไปมากพอสมควรแล้ว ไม่น่าจะขออะไรเพิ่มอีกนะ (I've given you enough money already),B1,medium,8,"[{""text"":""Can I have £6 for the cinema, please?Mother: But I gave you £10 this morning!"",""speaker"":""A""}]",,,
focus-meaning,What does the father mean?,I think John wants to help you.,I don’t think John understands it.,I think John can help you.,John gave you the homework.,C,พ่อบอก 'Why don't you ask John about it?' เป็นประโยคการแนะนำให้ไปถาม John แสดงว่าพ่อคิดว่า John น่าจะช่วยเธอทำการบ้านได้,B1,medium,8,"[{""text"":""I don’t understand tonight’s history homework."",""speaker"":""A""},{""text"":""Why don’t you ask John about it?"",""speaker"":""B""}]",,,
focus-meaning,What does the girl mean?,There are four tennis matches tomorrow.,The match is at 3 o’clock tomorrow.,We need another player for tomorrow’s match.,The match is cancelled.,C,ผู้เล่นเกมเทนนิสต้องมี 4 คน แต่ตอนนี้มี 3 ผู้ชายเลยชวนเพื่อน John ข้อความนี้สื่อว่าพวกเขากำลังขาดเพลย์เยอร์คนนึงพรุ่งนี้ (We need another player...),B1,medium,8,"[{""text"":""How many people do we need for tomorrow’s tennis match?"",""speaker"":""A""},{""text"":""Four – but we only have three at the moment."",""speaker"":""B""},{""text"":""John is a good tennis player, I’ll ask him."",""speaker"":""A""}]",,,
focus-meaning,What does the waitress mean?,I can make coffee but not tea.,I can’t make coffee at the moment.,I can only make drinks from the machine.,Coffee is free today.,B,เครื่องทำกาแฟพังและกำลังอยู่ในการซ่อมบำรุง พนักงานที่ร้านจึงสื่อความหมายว่า ตอนนี้ไม่สามารถทำการชงกาแฟให้ดื่มได้ (I can't make coffee at the moment),B1,medium,8,"[{""text"":""Can I have one coffee and two teas, please?"",""speaker"":""A""},{""text"":""I’m sorry. The coffee machine’s just being fixed."",""speaker"":""B""}]",,,
focus-meaning,What does the woman mean?,Can you lend me a sweater?,Do you still have my sweater?,Why aren’t you wearing a sweater?,Can you wash a sweater?,A,ผู้ชายบอกว่ามีเสื้อสเวตเตอร์นะแต่ว่ามันคงไม่ค่อยสะอาด การพูดโต้ตอบแบบนี้จริงๆแล้วเป็นการตอบรับคำพูดที่ผู้หญิงอยากขอยืมเสื้อนั่นเอง (Can you lend me a sweater?),B1,medium,8,"[{""text"":""I’m cold, Jim. Have you got a sweater?"",""speaker"":""A""},{""text"":""Yes, but it’s not very clean, I’m afraid."",""speaker"":""B""}]",,,
focus-meaning,What does the man mean?,He is criticising the woman.,He is giving the woman some advice.,He is asking the woman for information.,He is joking with her.,B,ผู้ชายทักว่า 'Why don't you lie down' (นอนพักสักหน่อยไหมล่ะ) เป็นการให้คำแนะนำเพื่อให้อาการปวดหัวดีขึ้นตามมารยาท (He is giving the woman some advice),B1,medium,8,"[{""text"":""I’ve got a terrible headache."",""speaker"":""A""},{""text"":""Why don’t you lie down for a while?"",""speaker"":""B""}]",,,
focus-meaning,What does the woman mean?,What does she look like?,What do you like about her?,What can you tell me about her?,What does she wear?,C,ผู้หญิงถามทวนกลับประโยคที่พนักงานว่าคือ 'What's she like?' (เธอเป็นคนแบบไหน มีลักษณะนิสัยเป็นอย่างไร) แสดงว่าต้องการให้เขาช่วยบอกรายละเอียดของเธอคนนี้มา,B1,medium,8,"[{""text"":""Have you seen the new Sales Manager?"",""speaker"":""A""},{""text"":""Yes, what’s she like?"",""speaker"":""B""}]",,,
focus-meaning,What does the son mean?,I’ll be nervous on stage tonight.,I can’t remember my lines now.,I need to get on stage quickly.,I don’t want to act.,A,เด็กชายบอกอาจจะตื่นเต้นจนลืมบทพูดไปเสียดื้อๆ ทันทีที่ขึ้นไปบนเวที แสดงว่าเขามีอาการประหม่ามากๆกังวลใจที่จะแสดงในค่ำคืนนี้ (I'll be nervous on stage tonight),B1,medium,8,"[{""text"":""Yes, but I know I’ll forget them as soon as I get on stage."",""speaker"":""A""}]",,,
focus-meaning,The man…,Suggesting a trip to the countryside.,Agreeing to drive her there.,Asking about the weather.,Talking about work.,A,ผู้ชายทักว่าอากาศวันนี้ดี๊ดี ชวนให้จัดทริปตากอากาศ 'nice day for a drive in the countryside' นั่นก็คือบอกเป็นนัยว่าไปขับรถเล่นกันเถอะ (Suggesting a trip...),B1,medium,8,"[{""text"":""It’s a nice day for a drive in the countryside."",""speaker"":""A""},{""text"":""Yes, but I’m a bit busy this afternoon."",""speaker"":""B""}]",,,
focus-meaning,What does the man mean?,He doesn’t believe it’s snowing.,The snow had been predicted.,The amount of snow is unclear.,It rarely snows.,B,ผู้ชายบอก 'It wasn't exactly unexpected' (มันก็ไม่ได้เหนือความคาดหมายนักหรอก) แปลว่าเคยมีการพยากรณ์พยากรณ์อากาศล่วงหน้าไว้แล้ว (The snow had been predicted),B1,medium,8,"[{""text"":""I can’t believe it’s snowing today."",""speaker"":""A""},{""text"":""It wasn’t exactly unexpected."",""speaker"":""B""}]",,,
focus-meaning,What does the woman imply?,She will take the test again.,She thinks she did well.,She’s unhappy with how she did.,She didn’t take the exam.,C,ผญ.รู้สึกเสียดายและบอกว่าอยากกลับไปทำข้อสอบซ้ำอีกสักรอบ ('take it over again') สะท้อนว่าตัวเองทำได้ไม่ดีและกำลังรู้สึกเศร้า/แย่กับผลงาน,B1,medium,8,"[{""text"":""How do you think you did on the literature exam?"",""speaker"":""A""},{""text"":""I really wish I could take it over again."",""speaker"":""B""}]",,,
focus-meaning,What had the man assumed?,The door was unlocked.,It was better to wait outside.,He could not open the door.,Someone was inside.,C,ฝ่ายชายเข้าใจว่าตประตูล็อค พอผู้หญิงบอกเปิดได้เลย เขาจึงทวนว่า 'So the door was not locked!' แสดงว่าก่อนหน้านี้ตัวเขาตั้งใจจะบอกว่าตัวเองเปิดประตูไม่ได้,B1,medium,8,"[{""text"":""You didn’t have to wait outside. You could’ve opened the door."",""speaker"":""A""},{""text"":""So the door was not locked!"",""speaker"":""B""}]",,,
focus-meaning,What does the woman mean?,She doesn’t want the job.,She can’t start working now.,She worked for two weeks.,She will never start.,B,"ผญ.ตอบปฏิเสธที่จะสตาร์ทงานทันที แต่ต้องรออีกสองอาทิตย์ ('No, but I can begin in two weeks') แสดงว่าสรุปรวบยอดคือเธอเริ่มเข้าทำงานตอนนี้เลยไม่ได้",B1,medium,8,"[{""text"":""Can you start work immediately?"",""speaker"":""A""},{""text"":""No, but I can begin in two weeks."",""speaker"":""B""}]",,,
focus-meaning,What does the man mean?,He prefers staying home.,He goes to the same place.,He wants warm weather.,He likes winter.,C,ผชัยบอกหนีไปที่ไหนก็ได้ที่ไกลๆเพราะ 'I can't stand the cold' (ทนอากาศหนาวๆไม่ไหวแล้ว) แสดงว่าเขาอยากจะมุ่งหน้าไปท่องเที่ยวในสถานที่ที่มีอากาศอบอุ่นขึ้น,B1,medium,8,"[{""text"":""Where are you going for vacation?"",""speaker"":""A""},{""text"":""Somewhere away from here. I can’t stand the cold."",""speaker"":""B""}]",,,
focus-meaning,What does he mean?,I couldn’t sit where I wanted.,I missed the end.,I want to see it again.,I left early.,A,ผช.บอกกะจะไปนั่งดูหน้าๆซะหน่อยแต่กลายเป็นไปช้าจนพลาด ('got there too late') หมายความว่าเขาเลือกไปนั่งในที่นั่งดีๆ ดั่งจินตนาการไม่ทัน (I couldn't sit where I wanted),B1,medium,8,"[{""text"":""That concert last night was terrific."",""speaker"":""A""},{""text"":""Did you get to sit up front?"",""speaker"":""B""},{""text"":""I’d hoped to, but I got there too late."",""speaker"":""A""}]",,,
focus-meaning,What does he mean?,The book was very difficult.,It took one day to read.,He was busy.,It was boring.,A,ผู้ชายบอกว่าส่วนตัวอ่านมาหลายส่วนแล้วเจอว่ามันหนักและเข้าใจยาก ('had a hard time with a lot of it') แปลว่าหนังสือสือเล่มนี้มันอ่านยากมหาโหด,B1,medium,8,"[{""text"":""What did you think of that book?"",""speaker"":""A""},{""text"":""I had a hard time with a lot of it."",""speaker"":""B""}]",,,
focus-meaning,What does the man mean?,He won’t wash his car.,His car isn’t dirty.,He doesn’t like rain.,He will wash it later.,A,ฝ่ายชายตัดสินใจยังไม่ล้างรถของตัวเองเพราะรู้ว่าเดี๋ยวฝนก็กำลังจะตก ('not going to bother washing') มีความหมายตรงตัวว่าเขาจะไม่ล้างตามนั้นเลย,B1,medium,9,"[{""text"":""I’m not going to bother washing the car. It’s going to rain later."",""speaker"":""A""}]",,,
focus-meaning,What does the woman mean?,Are you looking for a dentist?,What does your dentist look like?,What do you think about your dentist?,Where is your dentist?,C,ผู้หญิงตอบชมรัวๆเลยว่า 'I would definitely recommend her' (อยากจะเเนะนำหมอคนนี้เเน่นอน) เป็นการบรรยายความคิดเห็นบวกๆของเธอที่มีต่อทันตแพทย์,B1,medium,9,"[{""text"":""I’m looking for a new dentist. What’s yours like?"",""speaker"":""A""},{""text"":""I would definitely recommend her."",""speaker"":""B""}]",,,
focus-meaning,What does he mean?,He can’t do them later.,He wants her to do them.,She doesn’t need to wash them.,The dishes are dirty.,C,ผู้ชายตอบสบายๆว่า ตัวเองกลับมาบ้านก็จัดการเคลียร์ล้างให้หมดแล้วแหละ ('I did them when I got home') หมายความว่าฝ่ายหญิงไม่ต้องไปจัดการล้างต่อหรอก,B1,medium,9,"[{""text"":""I forgot to wash the dishes."",""speaker"":""A""},{""text"":""It’s okay. I did them when I got home."",""speaker"":""B""}]",,,
focus-meaning,What does he mean?,He didn’t work today.,He had a bad day.,He’ll explain later.,Work was easy.,B,ฝ่ายชายบ่นบอกว่า 'Today is just not my day' แปลว่าวันนี้มันไม่ใช่วันเข้าฝ่ายฉันเลย (ฉันดวงตก ไม่สบอารมณ์) แสดงว่าเขาไปเจอเรื่องร้ายๆ แย่ๆ ปวดหัวมาทั้งวัน,B1,medium,9,"[{""text"":""So how did things go at work?"",""speaker"":""A""},{""text"":""Today is just not my day."",""speaker"":""B""}]",,,
focus-meaning,What does the son mean?,Refusing to admit a problem.,Denying borrowing the car.,Changing the subject.,Asking a question.,A,ลูกชายกลบเกลื่อนรอยต่อและบอก 'I don't know what you're talking about' (ผมไม่รู้พ่อพูดเอ่ยเรื่องอะไรครับ) คือพยายามหนีปัญหาและหลีกเลี่ยงไม่ยอมรับ,B1,medium,9,"[{""text"":""What did you do to the car last night?"",""speaker"":""A""},{""text"":""I don’t know what you’re talking about."",""speaker"":""B""}]",,,
focus-meaning,What does the boy mean?,She could be more like him.,She should be more confident.,She must change opinion.,She must copy him.,B,ผู้ชายตอบสาวว่า 'You have your good points too' (ตัวเธอเองก็มีจุดเด่นมุมดีนับไม่ถ้วนเหมือนกัน) หมายความว่าอยากให้เธอให้ความสำคัญและมีความมั่นใจในตัวเองมากขึ้น,B1,medium,9,"[{""text"":""My brother is so outgoing. I’d like to be like that."",""speaker"":""A""},{""text"":""You have your good points too."",""speaker"":""B""}]",,,
focus-meaning,What does he mean?,I will go out.,I can’t go out.,I might go out.,I already went out.,C,เพื่อนชายบอกใจจริงอยากออกเที่ยวเต็มแก่ แต่ติดการบ้านกองโต เลยต่อท้ายว่า 'I'll have to see' (เดี๋ยวขอดูโอกาสละกัน) แปลว่าเขาอาจจะไปด้วยก็เป็นได้ถ้าเคลียร์ทัน (I might go out),B1,medium,9,"[{""text"":""Do you want to come out tonight?"",""speaker"":""A""},{""text"":""I’d love to, but I’ve got a lot of homework. I’ll have to see."",""speaker"":""B""}]",,,
focus-meaning,Meaning?,We can return here.,Not sure we can return.,You like it more than me.,It’s too expensive.,A,"ผู้ชายตอบว่า 'If you'd like to, sure.' (ถ้าคุณผู้หญิงอยากจะแวะมาเยือนอีกก็ตามใจ เอาสิ) แปลว่าปีหน้าเราสามารถกลับมาดื่มด่ำความสุขที่นี่ได้อีกนั่นเอง",B1,medium,9,"[{""text"":""This vacation has been wonderful."",""speaker"":""A""},{""text"":""Can we come back next year?"",""speaker"":""B""},{""text"":""If you’d like to, sure."",""speaker"":""A""}]",,,
focus-meaning,Meaning?,The restaurant is close to school.,Dinner is on the beach.,Class meets in main building.,Restaurant is far away.,A,ผู้หญิงบอกพิกัดร้าน Thai Lotus Restaurant ว่ามันตั้งอยู่ 'next to the main school building' เป็นข้อบ่งชี้ว่าสถานที่ใกล้กับโรงเรียน (The restaurant is close to school),B1,medium,9,"[{""text"":""Do you know where the class is meeting for dinner?"",""speaker"":""A""},{""text"":""At Thai Lotus Restaurant next to the main school building."",""speaker"":""B""}]",,,
focus-meaning,Meaning?,She isn’t very hungry.,She hates soup.,She already ate.,She will eat later.,A,ผู้หญิงอธิบายอาการว่ายังทานไม่ค่อยลง 'I don't feel like eating at the moment' หมายความว่าเธอยังไม่รู้สึกหิวข้าว/ความอยากอาหารมีระดับต่ำ (She isn't very hungry),B1,medium,9,"[{""text"":""I made some soup. Would you like some?"",""speaker"":""A""},{""text"":""No thanks. I don’t feel like eating at the moment."",""speaker"":""B""}]",,,
focus-meaning,What does the husband mean?,She should do things faster.,She should sleep earlier.,She needs more time.,She should wake later.,A,สามีบ่นภรรยาอ้อมๆว่าเหตุที่สายก็เพราะ 'you take your time getting ready' (คุณโอ้เอ้แต่งตัวไม่เร่งรัดเอง) หมายความว่าหล่อนสามารถและน่าจะแต่งให้เร็วกว่านี้สักหน่อย,B1,medium,9,"[{""text"":""I’ve been so late leaving for work in the morning."",""speaker"":""A""},{""text"":""That’s because you take your time getting ready."",""speaker"":""B""}]",,,
focus-meaning,What does the woman mean?,She always works weekends.,She usually works weekends.,She sometimes works weekends.,She never works weekends.,C,หญิงชี้แจงว่าช่วงเสาร์-อาทิตย์ก็มีมารับงานบ้างนะแต่นานๆที 'Only once a month' (ทำงานเพียงเดือนละ 1 หน) หมายความว่าก็มีนั่นแหละแค่ไม่ใช่บ่อยๆ,B1,medium,9,"[{""text"":""Do you often work at the weekends?"",""speaker"":""A""},{""text"":""Only once a month."",""speaker"":""B""}]",,,
focus-meaning,What does the girl mean?,She never sees him there.,She always sees him there.,She sometimes sees him there.,She goes with him.,A,ผู้ชายมักจะออกมาสระว่ายน้ำตอนเช้าตรู่เสมอ ('always go early in the mornings') เป็นเหตุผลว่าตลอดเวลาที่ผ่านมาผู้หญิงจึงไม่เคยเจอเขาเลยสักหน,B1,medium,9,"[{""text"":""I like swimming."",""speaker"":""A""},{""text"":""I hardly ever see you at the pool."",""speaker"":""B""},{""text"":""I always go early in the mornings."",""speaker"":""A""}]",,,
focus-meaning,What does the man mean?,Someone will take her home.,Someone will find a hotel.,She can stay at someone’s house.,She should leave early.,C,ชายเพื่อนบอกว่า 'One of us can put you up' (หนึ่งในพวกเราสามารถให้พี่สาวพักอาศัยชั่วคราวได้) หมายถึงผู้หญิงสามารถอยู่ค้างเพื่อร่วมดูคอนเทนท์ยาวๆได้,B1,medium,9,"[{""text"":""It’s a shame you can’t see the film with us."",""speaker"":""A""},{""text"":""I wanted to but the buses stop early."",""speaker"":""B""},{""text"":""One of us can put you up."",""speaker"":""A""}]",,,
