testTypeId,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,cefrLevel,difficulty,testSetId
focus-meaning,"A: The feedback was rather damning. B: ___","That's wonderful.","It was very positive.","So it was quite critical, then.","I don't understand.",C,"'Damning' means strongly critical or condemning, not positive.",C1,hard,
focus-meaning,"A: His argument doesn't hold water. B: ___","He should fix it.","You mean it's not convincing?","It's a strong argument.","It's waterproof.",B,"'Doesn't hold water' is an idiom meaning an argument is flawed or unconvincing.",C1,hard,
form-meaning,The ___ is very large. (animal),cat,elephant,mouse,bird,B,"An elephant is the largest land animal listed.",A1,easy,
form-meaning,I drink ___ every morning. (beverage),water,chair,pencil,shoes,A,"Water is a beverage; the others are not drinkable.",A1,easy,
form-meaning,She ___ to the market yesterday. (past tense verb),goes,went,going,go,B,"'Went' is the past tense of 'go', needed with 'yesterday'.",A1,easy,
form-meaning,The children are playing in the ___. (place),hospital,kitchen,playground,hospital,C,"A playground is a place where children play.",A2,easy,
form-meaning,He is very ___ because he studies hard. (adjective),lazy,clever,tired,angry,B,"Studying hard leads to being clever (smart).",A2,easy,
form-meaning,The doctor gave her a ___ for the medicine. (noun),recipe,prescription,description,subscription,B,"A prescription is what a doctor writes for medicine.",B1,medium,
form-meaning,The meeting was ___ due to the bad weather. (adjective),cancelled,celebrated,continued,organized,A,"Due to bad weather, events are typically cancelled.",B1,medium,
form-meaning,She has a strong ___ for music. (noun),hate,talent,fear,anger,B,"Having a strong talent means being very skilled at something.",B1,medium,
form-meaning,The government implemented new ___ to reduce pollution. (noun),problems,policies,questions,difficulties,B,"Policies are plans of action implemented by governments.",B2,hard,
form-meaning,The results were ___ with our initial hypothesis. (adjective),consistent,contradictory,identical,opposite,A,"Consistent with means in agreement with, supporting the hypothesis.",B2,hard,
listening,"You hear: 'The train to London departs from platform 3 at half past two.' Which platform?",Platform 1,Platform 2,Platform 3,Platform 4,C,The announcement says 'platform 3'.,A1,easy,
listening,"You hear: 'A ticket to Oxford costs twelve pounds fifty.' How much is a ticket?",£10.50,£12.50,£13.50,£15.00,B,"Twelve pounds fifty = £12.50.",A1,easy,
listening,"You hear: 'The library is open from nine in the morning until six in the evening.' When does it close?",5 PM,6 PM,7 PM,8 PM,B,"Six in the evening = 6 PM.",A2,easy,
listening,"You hear: 'Sorry, the restaurant is fully booked tonight. We have a table available tomorrow at seven.' When can they eat?",Tonight at 7,Tonight at 8,Tomorrow at 7,Tomorrow at 8,C,"The speaker offers a table tomorrow at seven.",A2,medium,
listening,"You hear: 'If you take the M25, expect delays of about thirty minutes. The A3 is clearer but adds twenty minutes to your journey.' Which is faster?",The M25,The A3,They take the same time,Cannot determine,B,"M25 takes 30 min extra = longer. A3 adds 20 min but no delays = faster overall.",B1,medium,
listening,"You hear: 'The conference has been rescheduled from Thursday to Friday, and the venue changed from Room A to the main hall.' Where is the conference now?",Room A,Room B,Main hall,Not mentioned,C,"The venue changed to the main hall.",B1,medium,
listening,"You hear: 'Despite the initial setbacks, the project was completed ahead of schedule and under budget.' What was the outcome?",It failed,It was delayed,It was successful,It was cancelled,C,"Ahead of schedule and under budget indicate a successful outcome.",B2,hard,
listening,"You hear: 'The survey revealed that although 70% of employees preferred remote work, only 30% were actually offered it.' What can be inferred?",Most employees work remotely,Few employees want remote work,There is a gap between preference and availability,Remote work is mandatory,C,"70% want it but only 30% get it = gap between preference and availability.",B2,hard,
listening,"You hear: 'The CEO emphasized that while short-term profits may dip, the long-term strategy will position the company as a market leader.' What is the CEO's message?",Profits will decrease permanently,The company is failing,Short-term sacrifice for long-term gain,The company is already a market leader,C,"Short-term dip in profits is acceptable because the long-term strategy leads to market leadership.",C1,hard,
listening,"You hear: 'Notwithstanding the regulatory challenges, the firm decided to proceed with the merger, albeit with certain modifications to the original terms.' What happened?",The merger was cancelled,The merger proceeded with changes,The firm ignored regulations,The terms stayed the same,B,"Notwithstanding = despite. The merger went ahead but with modifications to terms.",C1,hard,
