"id","test_type_id","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","conversation","audio_url","transcript","article","cefr_level","difficulty","active","order_index","created_at","updated_at"
"773","focus-meaning","What does the man mean?","I think it’s a good idea.","I don’t really want to go.","I’m not sure why you’re asking me.","I don’t have time tonight.","A","ผู้หญิงชวนออกไปเที่ยว ผู้ชายตอบ 'Why not?' (ทำไมจะไม่ล่ะ = ไปสิ) แสดงว่าเขาเห็นด้วยและคิดว่าเป็นไอเดียที่ดี (I think it's a good idea)","[{""name"":""Woman"",""text"":""Do you fancy going out somewhere tonight?"",""speaker"":""A""},{""name"":""Man"",""text"":""Why not?"",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"774","focus-meaning","What does the man mean?","Can I have your car keys?","Do you need my car keys?","Have you got my car keys?","Where are my car keys?","C","ผู้หญิงบอกว่ากุญแจวางอยู่บนโต๊ะ แสดงว่าผู้ชายตั้งคำถามเพื่อต้องการรู้ว่ากุญแจรถของตนเองอยู่ที่ไหน (Where are my car keys?)","[{""name"":""Woman"",""text"":""Did I give you my car keys?"",""speaker"":""A""},{""name"":""Man"",""text"":""They’re on the table in the hall."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"775","focus-meaning","What does the boy mean?","I don’t like reading.","I don’t mind what I read.","I don’t have anything to read.","I read only certain books.","B","ผู้ชายถูกถามว่าชอบอ่านหนังสืออะไร เขาตอบ 'anything really' (อะไรก็ได้เลย) หมายความว่าเขาอ่านอะไรก็ได้ ไม่เจาะจง (I don't mind what I read)","[{""name"":""Boy"",""text"":""What sort of books do you like reading?"",""speaker"":""A""},{""name"":""Boy"",""text"":""Well, anything really."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"776","focus-meaning","What does the brother mean?","You can’t understand.","You don’t understand.","You refuse to understand.","You never fish.","B","ประโยคที่บอก 'You just don't get it, do you?' (เธอไม่เข้าใจอะไรเลยสินะ) แปลแบบเรียบง่ายคือ อีกฝ่ายนั้นไม่เข้าใจในสิ่งที่เธอทำ (You don't understand)","[{""name"":""Man"",""text"":""I don’t know what you see in fishing…"",""speaker"":""A""},{""name"":""Person B"",""text"":""You just don’t get it, do you? It’s not about how many fish you catch."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"777","focus-meaning","What does the man mean?","It’s losing a lot of money.","It’s bringing in a lot of money.","It’s hardly making any money.","It is expanding rapidly.","B","ผู้ชายตั้งข้อสังเกตธุรกิจของฝั่่งคู่สนทนาทำท่าจะไปได้สวย ('thriving' แปลว่า เจริญรุ่งเรือง เติบโตได้ดี) แสดงว่าน่าจะทำเงินได้เยอะมาก (Bringing in a lot of money)","[{""name"":""Man"",""text"":""Adam’s business seems to be thriving."",""speaker"":""A""},{""name"":""Person B"",""text"":""Actually, I think he’s only just about breaking even."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"778","focus-meaning","What does the woman mean?","It’s losing a lot of money.","It’s bringing in a lot of money.","It’s hardly making any money.","It’s very successful.","C","ผู้หญิงแย้งว่าธุรกิจน่าจะแค่ 'breaking even' ซึ่งแปลว่าเท่าทุน/เสมอตัว หมายความว่ามันแทบจะไม่ได้ทำกำไรเลยในตอนนี้ (It's hardly making any money)","[{""name"":""Woman"",""text"":""Adam’s business seems to be thriving."",""speaker"":""A""},{""name"":""Man"",""text"":""Actually, I think he’s only just about breaking even."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"779","focus-meaning","What does the woman mean?","I’ll help you if you find it difficult.","I know it won’t take you long to learn.","I’m sure you’ll be able to do it eventually.","Dancing is easy for everyone.","B","ผู้หญิงบอกเดี๋ยวก็เป็น ('You'll pick it up in no time') มีความหมายตรงตัวว่าใช้เวลาเรียนรู้ไม่นานหรอก เดี๋ยวนายก็ทำได้สบายๆ (I know it won't take you long to learn)","[{""name"":""Woman"",""text"":""I’ve never been much good at dancing."",""speaker"":""A""},{""name"":""Man"",""text"":""You’ll pick it up in no time – take my word for it."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"780","focus-meaning","What does the woman mean?","I don’t know how far it is.","I never walk such a long way.","I don’t want to walk there today.","I love walking in this weather.","C","ผู้หญิงถามว่า 'Isn't it too far?' (มันไม่ไกลไปหน่อยเหรอ) ในสภาพอากาศแบบนี้ สรุปคือเธอไม่อยากเดินไปที่นั่นในบรรยากาศตอนนี้ (I don't want to walk there today)","[{""name"":""Woman"",""text"":""Let’s walk to the beach this afternoon."",""speaker"":""A""},{""name"":""Man"",""text"":""Isn’t it too far in this weather?"",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"781","focus-meaning","What does the man mean?","I’ll make a meal with what we have.","I’ll buy something to eat.","I’ll order takeout.","I’ll go to a restaurant.","A","คำว่า 'rustle something up' เป็นสำนวนแปลว่า การไปหาวัตถุดิบเท่าที่มีรวบรวมมาเข้าครัวทำอาหารแบบรวดเร็ว (I'll make a meal with what we have)","[{""name"":""Man"",""text"":""I’m starving."",""speaker"":""A""},{""name"":""Person B"",""text"":""I’ll see if I can rustle something up."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"782","focus-meaning","What does the woman mean?","Can you tell me how much this swimsuit is?","Where can I pay for this swimsuit?","Can I see if this swimsuit fits me?","Can I return this swimsuit?","C","ผู้หญิงขออนุญาตลองชุด และผู้ชายบอกว่า 'changing room's over there' (ห้องเปลี่ยนเสื้ออยู่ตรงนั้น) แสดงว่าผู้หญิงขอเช็คว่าชุดที่ใส่เข้ากันหรือไม่","[{""name"":""Woman"",""text"":""Can I try this swimsuit on, please?"",""speaker"":""A""},{""name"":""Man"",""text"":""Sure – the changing room’s over there."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"783","focus-meaning","What does the mother mean?","You might need more money than that.","That’s too much money for the cinema.","I’ve given you enough money already.","I forgot to give you money.","C","แม่บ่นว่าเมื่อเช้าก็เพิ่งให้ไป 10 ปอนด์ หมายความว่าได้ให้เงินไปมากพอสมควรแล้ว ไม่น่าจะขออะไรเพิ่มอีกนะ (I've given you enough money already)","[{""name"":""Mother"",""text"":""Can I have £6 for the cinema, please?Mother: But I gave you £10 this morning!"",""speaker"":""A""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"784","focus-meaning","What does the father mean?","I think John wants to help you.","I don’t think John understands it.","I think John can help you.","John gave you the homework.","C","พ่อบอก 'Why don't you ask John about it?' เป็นประโยคการแนะนำให้ไปถาม John แสดงว่าพ่อคิดว่า John น่าจะช่วยเธอทำการบ้านได้","[{""name"":""Father"",""text"":""I don’t understand tonight’s history homework."",""speaker"":""A""},{""name"":""Father"",""text"":""Why don’t you ask John about it?"",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"785","focus-meaning","What does the girl mean?","There are four tennis matches tomorrow.","The match is at 3 o’clock tomorrow.","We need another player for tomorrow’s match.","The match is cancelled.","C","ผู้เล่นเกมเทนนิสต้องมี 4 คน แต่ตอนนี้มี 3 ผู้ชายเลยชวนเพื่อน John ข้อความนี้สื่อว่าพวกเขากำลังขาดเพลย์เยอร์คนนึงพรุ่งนี้ (We need another player...)","[{""name"":""Girl"",""text"":""How many people do we need for tomorrow’s tennis match?"",""speaker"":""A""},{""name"":""Girl"",""text"":""Four – but we only have three at the moment."",""speaker"":""B""},{""name"":""Girl"",""text"":""John is a good tennis player, I’ll ask him."",""speaker"":""A""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"786","focus-meaning","What does the waitress mean?","I can make coffee but not tea.","I can’t make coffee at the moment.","I can only make drinks from the machine.","Coffee is free today.","B","เครื่องทำกาแฟพังและกำลังอยู่ในการซ่อมบำรุง พนักงานที่ร้านจึงสื่อความหมายว่า ตอนนี้ไม่สามารถทำการชงกาแฟให้ดื่มได้ (I can't make coffee at the moment)","[{""name"":""Waitress"",""text"":""Can I have one coffee and two teas, please?"",""speaker"":""A""},{""name"":""Waitress"",""text"":""I’m sorry. The coffee machine’s just being fixed."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"787","focus-meaning","What does the woman mean?","Can you lend me a sweater?","Do you still have my sweater?","Why aren’t you wearing a sweater?","Can you wash a sweater?","A","ผู้ชายบอกว่ามีเสื้อสเวตเตอร์นะแต่ว่ามันคงไม่ค่อยสะอาด การพูดโต้ตอบแบบนี้จริงๆแล้วเป็นการตอบรับคำพูดที่ผู้หญิงอยากขอยืมเสื้อนั่นเอง (Can you lend me a sweater?)","[{""name"":""Woman"",""text"":""I’m cold, Jim. Have you got a sweater?"",""speaker"":""A""},{""name"":""Man"",""text"":""Yes, but it’s not very clean, I’m afraid."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"788","focus-meaning","What does the man mean?","He is criticising the woman.","He is giving the woman some advice.","He is asking the woman for information.","He is joking with her.","B","ผู้ชายทักว่า 'Why don't you lie down' (นอนพักสักหน่อยไหมล่ะ) เป็นการให้คำแนะนำเพื่อให้อาการปวดหัวดีขึ้นตามมารยาท (He is giving the woman some advice)","[{""name"":""Woman"",""text"":""I’ve got a terrible headache."",""speaker"":""A""},{""name"":""Man"",""text"":""Why don’t you lie down for a while?"",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"789","focus-meaning","What does the woman mean?","What does she look like?","What do you like about her?","What can you tell me about her?","What does she wear?","C","ผู้หญิงถามทวนกลับประโยคที่พนักงานว่าคือ 'What's she like?' (เธอเป็นคนแบบไหน มีลักษณะนิสัยเป็นอย่างไร) แสดงว่าต้องการให้เขาช่วยบอกรายละเอียดของเธอคนนี้มา","[{""name"":""Woman"",""text"":""Have you seen the new Sales Manager?"",""speaker"":""A""},{""name"":""Man"",""text"":""Yes, what’s she like?"",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"790","focus-meaning","What does the son mean?","I’ll be nervous on stage tonight.","I can’t remember my lines now.","I need to get on stage quickly.","I don’t want to act.","A","เด็กชายบอกอาจจะตื่นเต้นจนลืมบทพูดไปเสียดื้อๆ ทันทีที่ขึ้นไปบนเวที แสดงว่าเขามีอาการประหม่ามากๆกังวลใจที่จะแสดงในค่ำคืนนี้ (I'll be nervous on stage tonight)","[{""name"":""Man"",""text"":""Yes, but I know I’ll forget them as soon as I get on stage."",""speaker"":""A""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"791","focus-meaning","The man…","Suggesting a trip to the countryside.","Agreeing to drive her there.","Asking about the weather.","Talking about work.","A","ผู้ชายทักว่าอากาศวันนี้ดี๊ดี ชวนให้จัดทริปตากอากาศ 'nice day for a drive in the countryside' นั่นก็คือบอกเป็นนัยว่าไปขับรถเล่นกันเถอะ (Suggesting a trip...)","[{""name"":""Man"",""text"":""It’s a nice day for a drive in the countryside."",""speaker"":""A""},{""name"":""Woman"",""text"":""Yes, but I’m a bit busy this afternoon."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"792","focus-meaning","What does the man mean?","He doesn’t believe it’s snowing.","The snow had been predicted.","The amount of snow is unclear.","It rarely snows.","B","ผู้ชายบอก 'It wasn't exactly unexpected' (มันก็ไม่ได้เหนือความคาดหมายนักหรอก) แปลว่าเคยมีการพยากรณ์พยากรณ์อากาศล่วงหน้าไว้แล้ว (The snow had been predicted)","[{""name"":""Man"",""text"":""I can’t believe it’s snowing today."",""speaker"":""A""},{""name"":""Person B"",""text"":""It wasn’t exactly unexpected."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"793","focus-meaning","What does the woman imply?","She will take the test again.","She thinks she did well.","She’s unhappy with how she did.","She didn’t take the exam.","C","ผญ.รู้สึกเสียดายและบอกว่าอยากกลับไปทำข้อสอบซ้ำอีกสักรอบ ('take it over again') สะท้อนว่าตัวเองทำได้ไม่ดีและกำลังรู้สึกเศร้า/แย่กับผลงาน","[{""name"":""Woman"",""text"":""How do you think you did on the literature exam?"",""speaker"":""A""},{""name"":""Man"",""text"":""I really wish I could take it over again."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"794","focus-meaning","What had the man assumed?","The door was unlocked.","It was better to wait outside.","He could not open the door.","Someone was inside.","C","ฝ่ายชายเข้าใจว่าตประตูล็อค พอผู้หญิงบอกเปิดได้เลย เขาจึงทวนว่า 'So the door was not locked!' แสดงว่าก่อนหน้านี้ตัวเขาตั้งใจจะบอกว่าตัวเองเปิดประตูไม่ได้","[{""name"":""Man"",""text"":""You didn’t have to wait outside. You could’ve opened the door."",""speaker"":""A""},{""name"":""Woman"",""text"":""So the door was not locked!"",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"795","focus-meaning","What does the woman mean?","She doesn’t want the job.","She can’t start working now.","She worked for two weeks.","She will never start.","B","ผญ.ตอบปฏิเสธที่จะสตาร์ทงานทันที แต่ต้องรออีกสองอาทิตย์ ('No, but I can begin in two weeks') แสดงว่าสรุปรวบยอดคือเธอเริ่มเข้าทำงานตอนนี้เลยไม่ได้","[{""name"":""Woman"",""text"":""Can you start work immediately?"",""speaker"":""A""},{""name"":""Man"",""text"":""No, but I can begin in two weeks."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"796","focus-meaning","What does the man mean?","He prefers staying home.","He goes to the same place.","He wants warm weather.","He likes winter.","C","ผชัยบอกหนีไปที่ไหนก็ได้ที่ไกลๆเพราะ 'I can't stand the cold' (ทนอากาศหนาวๆไม่ไหวแล้ว) แสดงว่าเขาอยากจะมุ่งหน้าไปท่องเที่ยวในสถานที่ที่มีอากาศอบอุ่นขึ้น","[{""name"":""Man"",""text"":""Where are you going for vacation?"",""speaker"":""A""},{""name"":""Person B"",""text"":""Somewhere away from here. I can’t stand the cold."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"797","focus-meaning","What does he mean?","I couldn’t sit where I wanted.","I missed the end.","I want to see it again.","I left early.","A","ผช.บอกกะจะไปนั่งดูหน้าๆซะหน่อยแต่กลายเป็นไปช้าจนพลาด ('got there too late') หมายความว่าเขาเลือกไปนั่งในที่นั่งดีๆ ดั่งจินตนาการไม่ทัน (I couldn't sit where I wanted)","[{""name"":""Man"",""text"":""That concert last night was terrific."",""speaker"":""A""},{""name"":""Person B"",""text"":""Did you get to sit up front?"",""speaker"":""B""},{""name"":""Man"",""text"":""I’d hoped to, but I got there too late."",""speaker"":""A""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"798","focus-meaning","What does he mean?","The book was very difficult.","It took one day to read.","He was busy.","It was boring.","A","ผู้ชายบอกว่าส่วนตัวอ่านมาหลายส่วนแล้วเจอว่ามันหนักและเข้าใจยาก ('had a hard time with a lot of it') แปลว่าหนังสือสือเล่มนี้มันอ่านยากมหาโหด","[{""name"":""Man"",""text"":""What did you think of that book?"",""speaker"":""A""},{""name"":""Person B"",""text"":""I had a hard time with a lot of it."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"799","focus-meaning","What does the man mean?","He won’t wash his car.","His car isn’t dirty.","He doesn’t like rain.","He will wash it later.","A","ฝ่ายชายตัดสินใจยังไม่ล้างรถของตัวเองเพราะรู้ว่าเดี๋ยวฝนก็กำลังจะตก ('not going to bother washing') มีความหมายตรงตัวว่าเขาจะไม่ล้างตามนั้นเลย","[{""name"":""Man"",""text"":""I’m not going to bother washing the car. It’s going to rain later."",""speaker"":""A""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"800","focus-meaning","What does the woman mean?","Are you looking for a dentist?","What does your dentist look like?","What do you think about your dentist?","Where is your dentist?","C","ผู้หญิงตอบชมรัวๆเลยว่า 'I would definitely recommend her' (อยากจะเเนะนำหมอคนนี้เเน่นอน) เป็นการบรรยายความคิดเห็นบวกๆของเธอที่มีต่อทันตแพทย์","[{""name"":""Man"",""text"":""I’m looking for a new dentist. What’s yours like?"",""speaker"":""A""},{""name"":""Woman"",""text"":""I would definitely recommend her."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"801","focus-meaning","What does he mean?","He can’t do them later.","He wants her to do them.","She doesn’t need to wash them.","The dishes are dirty.","C","ผู้ชายตอบสบายๆว่า ตัวเองกลับมาบ้านก็จัดการเคลียร์ล้างให้หมดแล้วแหละ ('I did them when I got home') หมายความว่าฝ่ายหญิงไม่ต้องไปจัดการล้างต่อหรอก","[{""name"":""Woman"",""text"":""I forgot to wash the dishes."",""speaker"":""A""},{""name"":""Man"",""text"":""It’s okay. I did them when I got home."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"802","focus-meaning","What does he mean?","He didn’t work today.","He had a bad day.","He’ll explain later.","Work was easy.","B","ฝ่ายชายบ่นบอกว่า 'Today is just not my day' แปลว่าวันนี้มันไม่ใช่วันเข้าฝ่ายฉันเลย (ฉันดวงตก ไม่สบอารมณ์) แสดงว่าเขาไปเจอเรื่องร้ายๆ แย่ๆ ปวดหัวมาทั้งวัน","[{""name"":""Man"",""text"":""So how did things go at work?"",""speaker"":""A""},{""name"":""Person B"",""text"":""Today is just not my day."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
